system:index,CLASS_ID,b1,b2,b3,b4,rand,.geo
0000158ce05169d11f52_5,4,37.89936,13.137264,-5.982165,1.6352706,0.9712293385957821,
0000158ce05169d11f52_8,4,34.2367,16.168182,-7.0409966,0.79343307,0.8603898486079312,
0000158ce05169d11f52_9,4,32.12365,16.724329,-7.5740147,0.45919618,0.6988379642080793,
0000158ce05169d11f52_16,4,36.741154,15.361805,-8.958767,0.6572587,0.7991371448543717,
0000158ce05169d11f52_19,4,90.58493,-33.311016,-13.972862,0.8276673,0.930556779884473,
0000158ce05169d11f52_22,4,81.41839,-24.392204,-12.3047,1.2622398,0.8428906620849244,
0000158ce05169d11f52_23,4,73.85506,-20.087011,-10.804862,2.0372832,0.8478812822542355,
0000158ce05169d11f52_28,4,93.589874,-35.327454,-15.818798,-0.4094807,0.9818667473463757,
0000158ce05169d11f52_31,4,84.19394,-29.501429,-14.883749,0.011512775,0.7593597232920843,
0000158ce05169d11f52_32,4,88.45426,-32.74792,-14.607483,0.6249795,0.7988351861125726,
0000158ce05169d11f52_34,4,80.3628,-25.177847,-13.042838,1.1547613,0.7829250030410329,
0000158ce05169d11f52_40,4,95.82276,-40.16087,-16.632603,-0.43936312,0.6978684690110187,
0000158ce05169d11f52_42,4,42.70611,-1.6324753,-4.538063,2.715797,0.7197303738316552,
0000158ce05169d11f52_45,4,94.07432,-36.45712,-15.133542,-0.068699434,0.964803402579241,
0000158ce05169d11f52_51,4,89.093796,-27.783997,-15.273952,-0.08302202,0.7593105260123832,
0000158ce05169d11f52_54,4,40.391304,6.206918,-5.866045,1.7670741,0.8048335712043659,
0000158ce05169d11f52_55,4,43.44366,1.1894814,-5.722791,1.6723948,0.8039895068320271,
0000158ce05169d11f52_56,4,53.371178,-10.022958,-7.6938834,1.6798729,0.9966917556112591,
0000158ce05169d11f52_57,4,68.64168,-20.713781,-10.269718,0.8304371,0.9285953104053724,
0000158ce05169d11f52_61,4,64.18244,-18.36821,-9.456328,1.189431,0.7854778261188977,
0000158ce05169d11f52_71,4,54.610886,-11.324145,-6.351938,2.2936237,0.6996675349743988,
0000158ce05169d11f52_73,4,51.93878,-17.95372,-7.4744678,1.0003289,0.7397955419018151,
0000158ce05169d11f52_74,4,64.35303,-20.527233,-9.619988,0.4421835,0.6812888449866831,
0000158ce05169d11f52_75,4,53.10661,-14.0509,-6.5597715,1.7546881,0.7693107737716885,
0000158ce05169d11f52_79,4,60.57212,-12.283367,-11.322394,-0.01636218,0.8426262802850106,
0000158ce05169d11f52_85,4,57.52045,-8.203485,-9.457592,0.033280212,0.8717769454612159,
