system:index,CLASS_ID,b1,b2,b3,b4,rand,.geo
0000158ce05169d11f52_0,4,13.740433,5.475265,-3.6246912,1.4509699,0.03915628017652695,
0000158ce05169d11f52_1,4,18.24954,20.890528,-2.8160427,1.3027014,0.4100159267869343,
0000158ce05169d11f52_2,4,20.820412,11.892617,-2.5809681,2.4789407,0.21039125415474647,
0000158ce05169d11f52_3,4,22.043953,0.13667794,-1.8164183,2.2849128,0.5921398909379254,
0000158ce05169d11f52_4,4,19.932983,25.459732,-5.7964497,1.0172316,0.476564253053648,
0000158ce05169d11f52_6,4,48.811447,0.52238,-9.202372,0.9254006,0.05193304808348198,
0000158ce05169d11f52_7,4,65.805725,-14.80251,-11.399839,-0.18210277,0.17823946538260116,
0000158ce05169d11f52_10,4,60.52302,-4.9569674,-10.690234,-0.12635998,0.49216235117297025,
0000158ce05169d11f52_11,4,82.49852,-22.749472,-14.156522,-0.051464297,0.26260843625750063,
0000158ce05169d11f52_12,4,92.836,-33.031235,-15.505025,-0.84327865,0.2272424942876159,
0000158ce05169d11f52_13,4,95.39839,-36.837532,-15.401322,0.14200863,0.3534904210515295,
0000158ce05169d11f52_14,4,62.51382,-10.599891,-9.959008,2.463681,0.10368154485734193,
0000158ce05169d11f52_15,4,44.850483,4.799012,-8.68558,1.4517064,0.06328746322047607,
0000158ce05169d11f52_17,4,49.901962,4.363135,-9.338854,0.73104817,0.3941378051351141,
0000158ce05169d11f52_18,4,78.06147,-20.333029,-12.538973,1.5238746,0.6539133644997518,
0000158ce05169d11f52_20,4,93.87022,-37.281162,-13.371576,2.2717195,0.005747935838319118,
0000158ce05169d11f52_21,4,100.63208,-41.484863,-16.42429,0.09280913,0.6303047841132362,
0000158ce05169d11f52_24,4,64.985146,-12.417697,-10.697263,1.0659403,0.6428347374821309,
0000158ce05169d11f52_25,4,49.72262,-0.9430622,-11.482953,-0.76417637,0.16503671930336383,
0000158ce05169d11f52_26,4,45.223988,5.7360063,-8.228388,0.83327585,0.505589134071075,
0000158ce05169d11f52_27,4,69.94254,-12.833851,-11.797874,0.8545064,0.2583714402229279,
0000158ce05169d11f52_29,4,96.88435,-39.29939,-15.174539,0.98633415,0.13870078906797245,
0000158ce05169d11f52_30,4,98.452995,-38.790394,-16.303705,-0.045270327,0.02437006649989304,
0000158ce05169d11f52_33,4,82.88031,-29.050243,-13.852306,1.0490948,0.4084633898313257,
0000158ce05169d11f52_35,4,74.3601,-20.359919,-12.721261,0.9636576,0.41138284031219685,
0000158ce05169d11f52_36,4,62.79851,-9.722484,-10.608489,0.96061355,0.26344481201488845,
0000158ce05169d11f52_37,4,61.027527,-5.1551814,-11.904543,0.12704398,0.35859078990692705,
0000158ce05169d11f52_38,4,86.67532,-26.057148,-14.959263,-0.35616976,0.3885654721833086,
0000158ce05169d11f52_39,4,103.95688,-42.472267,-17.39791,-0.078483015,0.044671221965945196,
0000158ce05169d11f52_41,4,92.34528,-34.81481,-13.762734,1.5957057,0.17879943595653902,
0000158ce05169d11f52_43,4,65.05159,-17.620562,-10.296023,0.95511127,0.44605930716717346,
0000158ce05169d11f52_44,4,87.570435,-33.568928,-14.53305,-0.40361646,0.555401971103906,
0000158ce05169d11f52_46,4,85.09537,-29.628864,-12.828211,0.8189644,0.5486540273247286,
0000158ce05169d11f52_47,4,76.02101,-22.857391,-11.669235,0.8748099,0.17628474878442446,
0000158ce05169d11f52_48,4,67.58661,-16.308744,-11.101368,0.4932177,0.3747199055174798,
0000158ce05169d11f52_49,4,56.390903,-6.7782016,-8.855114,1.4481905,0.025394758750772017,
0000158ce05169d11f52_50,4,64.3799,-9.215045,-11.682706,-0.12867641,0.6284640409098633,
0000158ce05169d11f52_52,4,99.74187,-39.23667,-17.450464,-0.9540825,0.24547065828217418,
0000158ce05169d11f52_53,4,92.258255,-34.871563,-14.878292,0.7366228,0.3645245730888865,
0000158ce05169d11f52_58,4,85.490715,-30.817951,-13.251306,0.27722478,0.22722842903600016,
0000158ce05169d11f52_59,4,84.77344,-30.655277,-13.721922,-0.21256694,0.4124618433491354,
0000158ce05169d11f52_60,4,70.7998,-23.404669,-10.484526,1.0705615,0.6123985300123369,
0000158ce05169d11f52_62,4,68.599915,-18.504126,-8.8063545,2.2402968,0.1700991490683108,
0000158ce05169d11f52_63,4,67.33611,-15.072978,-9.298535,1.6027203,0.5425164078232318,
0000158ce05169d11f52_64,4,62.016113,-7.422429,-10.417893,0.65580314,0.14715897417577728,
0000158ce05169d11f52_65,4,82.3567,-20.675514,-14.536748,-0.83224905,0.5451828489830698,
0000158ce05169d11f52_66,4,99.838036,-41.381264,-17.960348,-1.3145266,0.6085968806637395,
0000158ce05169d11f52_67,4,102.485374,-45.205364,-17.45323,-0.7878399,0.5129051865157722,
0000158ce05169d11f52_68,4,49.17661,-1.5973426,-7.7654023,0.5078959,0.2656849267451066,
0000158ce05169d11f52_69,4,55.211266,-8.547379,-8.896858,0.67529815,0.23322387452886661,
0000158ce05169d11f52_70,4,62.08661,-13.486412,-7.3019104,1.8341451,0.5594846681637083,
0000158ce05169d11f52_72,4,42.239243,-10.961981,-5.656699,1.4187366,0.14712924619020984,
0000158ce05169d11f52_76,4,49.352837,-11.865207,-5.3334494,2.6704373,0.2815135054317116,
0000158ce05169d11f52_77,4,61.57553,-17.541063,-8.022487,1.8739494,0.3546990710616116,
0000158ce05169d11f52_78,4,70.16495,-20.192535,-11.628647,0.07254968,0.2640234444625309,
0000158ce05169d11f52_80,4,58.664,-6.426983,-9.585739,0.99797684,0.39051097504609056,
0000158ce05169d11f52_81,4,83.45115,-21.946106,-13.885692,0.56795025,0.13864122210770036,
0000158ce05169d11f52_82,4,99.11228,-39.0143,-16.819168,-0.5543883,0.3259493335469582,
0000158ce05169d11f52_83,4,27.907068,13.912179,-4.85914,1.163766,0.31460505750003476,
0000158ce05169d11f52_84,4,51.839424,-2.4345076,-8.943383,-0.45868462,0.4314557811217389,
0000158ce05169d11f52_86,4,59.87877,-7.872696,-9.769361,-0.9058206,0.13187524773219594,
0000158ce05169d11f52_88,4,28.176237,-9.03479,-4.144842,0.7384876,0.5273693367020954,
0000158ce05169d11f52_89,4,13.392113,-9.857339,-0.67156696,2.349161,0.2627423385675238,
0000158ce05169d11f52_90,4,19.53813,-6.37358,-0.7667642,2.7961736,0.6583835340152558,
0000158ce05169d11f52_92,4,22.950272,-4.3148503,-2.378415,2.0657933,0.6651315003786079,
0000158ce05169d11f52_93,4,45.963623,-10.938923,-5.369363,1.8629583,0.4739520748466284,
0000158ce05169d11f52_94,4,62.531815,-16.811945,-8.444858,1.1613551,0.22328958929306808,
0000158ce05169d11f52_96,4,51.026726,-0.056930948,-8.1721115,0.6832264,0.4513791719680553,
0000158ce05169d11f52_97,4,53.05,-0.5956246,-8.058489,1.48823,0.3632218887698231,
0000158ce05169d11f52_98,4,73.22476,-16.955667,-12.602727,-0.36891782,0.27787106209128,
0000158ce05169d11f52_99,4,92.78174,-33.020325,-15.759856,-0.55617696,0.4930282330864707,
0000158ce05169d11f52_102,4,37.34763,8.94373,-8.31577,-0.7313974,0.12606007185538393,
0000158ce05169d11f52_104,4,40.986256,-14.919359,-7.692924,-0.1743498,0.6404208333901656,
0000158ce05169d11f52_105,4,10.663761,-6.0912285,-2.267379,0.93499506,0.26156005307522323,
0000158ce05169d11f52_106,4,6.736804,3.367769,-1.6787876,1.0382986,0.1735150306292743,
0000158ce05169d11f52_107,4,17.599974,1.0670288,-6.0115013,-1.218513,0.08205764723513342,
0000158ce05169d11f52_108,4,4.1961694,-0.14590505,-2.5487566,0.31922805,0.49365376209027045,
0000158ce05169d11f52_111,4,37.897663,-5.4965277,-4.6621933,2.4384277,0.012682574887587394,
0000158ce05169d11f52_112,4,41.17765,1.7016325,-7.679024,0.8242736,0.3422944672865813,
0000158ce05169d11f52_113,4,50.23489,0.122865185,-9.005943,0.614848,0.19605911482404248,
0000158ce05169d11f52_115,4,59.99709,-6.8064256,-9.826745,1.1926872,0.6250087964425846,
0000158ce05169d11f52_116,4,71.64041,-14.396818,-12.602137,0.6623995,0.020142532776862287,
0000158ce05169d11f52_117,4,88.834236,-28.745495,-15.185652,-0.089001976,0.24994618374304023,
0000158ce05169d11f52_118,4,20.51626,21.245773,-3.5925841,0.91901773,0.3996507423394622,
0000158ce05169d11f52_119,4,21.528502,9.458019,-4.5289087,0.5273972,0.6519848387184753,
0000158ce05169d11f52_120,4,21.212063,-7.217328,-5.807746,-1.1884192,0.11328622010673428,
0000158ce05169d11f52_121,4,9.396313,-4.85879,-4.446019,-0.852238,0.6610149876626356,
0000158ce05169d11f52_122,4,15.31278,5.833293,-6.139159,-2.262002,0.30301968996211703,
0000158ce05169d11f52_123,4,56.551178,-8.29584,-13.893204,-4.4936213,0.6007860536639051,
0000158ce05169d11f52_125,4,39.51006,-12.460969,-7.865101,-1.0882771,0.2130107836451245,
0000158ce05169d11f52_127,4,-0.25139043,2.1976583,-1.682214,0.6198287,0.133435468273562,
0000158ce05169d11f52_128,4,14.388768,2.1853688,-3.1168,1.0426054,0.30763185184239183,
0000158ce05169d11f52_129,4,36.19308,-3.1434429,-7.307105,0.06680843,0.3767565297237849,
0000158ce05169d11f52_132,4,62.725147,-12.84624,-10.608172,0.11939446,0.002388307267624734,
0000158ce05169d11f52_133,4,53.133633,-2.7360194,-8.636746,1.2134727,0.6310464871620718,
0000158ce05169d11f52_134,4,62.692173,-7.650961,-10.848248,0.045322962,0.44937755858018846,
0000158ce05169d11f52_138,4,34.93083,10.671789,-8.0019455,-0.9956191,0.32465725942430934,
0000158ce05169d11f52_139,4,84.53575,-19.660475,-20.568548,-5.9651155,0.21747353197368036,
0000158ce05169d11f52_140,4,104.74788,-35.951138,-24.244879,-6.671227,0.6635231235889508,
0000158ce05169d11f52_141,4,71.74601,-24.080078,-16.066172,-3.3054562,0.4757401659463989,
0000158ce05169d11f52_143,4,-7.3177404,24.082527,-0.07738153,2.2310114,0.29650840221577013,
0000158ce05169d11f52_144,4,3.8943822,22.802128,-3.3849947,0.85340947,0.6295387483170044,
0000158ce05169d11f52_145,4,28.17278,5.3547397,-7.44139,0.31925935,0.6034837787756395,
0000158ce05169d11f52_146,4,57.201023,-11.280536,-10.599584,0.46738818,0.5171128710667701,
0000158ce05169d11f52_147,4,69.024216,-15.766415,-12.885694,0.23603527,0.318485020725674,
0000158ce05169d11f52_148,4,61.71397,-10.572988,-12.209452,-0.2722655,0.05802796732955473,
0000158ce05169d11f52_149,4,43.04862,6.308605,-9.076603,0.8749107,0.06943634803449306,
0000158ce05169d11f52_150,4,28.370338,18.90872,-6.3392215,1.3599131,0.5374046364310812,
0000158ce05169d11f52_154,4,23.517073,22.219795,-7.2150483,-1.7084446,0.14913328628742561,
0000158ce05169d11f52_155,4,59.0635,-4.6967845,-12.479904,-2.2431326,0.2537775243075281,
0000158ce05169d11f52_156,4,83.70434,-21.125546,-15.453768,-1.9573014,0.2756376343194731,
0000158ce05169d11f52_158,4,18.711437,20.630316,-4.9582133,0.5048679,0.5628517750464022,
0000158ce05169d11f52_159,4,6.387036,31.440498,-3.535983,0.2655709,0.2605717616878668,
0000158ce05169d11f52_161,4,19.677174,19.230833,-6.2907133,-0.12326165,0.3820454612578489,
0000158ce05169d11f52_163,4,55.56568,-4.4628844,-8.903012,1.4461042,0.3319149388674969,
0000158ce05169d11f52_164,4,49.53893,-2.705087,-7.638746,1.4641976,0.46933596140081746,
0000158ce05169d11f52_166,4,18.387844,30.056437,-5.3248715,0.3070215,0.636986164838079,
0000158ce05169d11f52_168,4,17.105465,23.117958,-5.758685,0.31617272,0.32302538694919913,
0000158ce05169d11f52_169,4,19.447327,23.531536,-5.470221,0.8432345,0.48749683786413645,
0000158ce05169d11f52_171,4,41.89651,7.5989814,-10.045215,-0.124726675,0.6398821472889054,
0000158ce05169d11f52_174,4,30.268837,18.249947,-8.244855,0.22631425,0.31521084288008205,
0000158ce05169d11f52_175,4,38.52382,13.785647,-9.385422,0.058355153,0.26315589333462364,
0000158ce05169d11f52_176,4,25.164177,20.818161,-6.859039,1.0375389,0.6168919945937213,
0000158ce05169d11f52_178,4,27.239107,17.279404,-4.745608,2.9812994,0.37577805299694744,
0000158ce05169d11f52_179,4,27.464035,18.17291,-5.6997213,1.8435861,0.562295568765454,
